CÓDIGO_Aluno,Class,Grade,level,Activities,Badges,In Class,Points,Speaking tasks,Speaking skill,Speaking total,Quizzes,Quizzes skill,Ratings,Feedbacks
aluno1,6ve7m,9º ano,#N/D,567,40,0,100997,348,0%,01:09:32,216,80%,72,219
aluno2,6ve7m,9º ano,A1,579,43,0,93219,348,0%,00:58:27,228,97%,105,180
aluno3,6ve7m,9º ano,#N/D,210,19,0,51029,112,0%,00:23:33,95,26%,323,67
aluno4,dg23e,7º ano,A1,542,54,0,46255,329,0%,00:39:39,210,37%,66,199
aluno5,2ziol,8º ano,A2,497,42,0,41092,301,0%,00:36:59,193,65%,66,91
aluno6,87ccs,6º ano,A2,353,26,0,36936,239,0%,00:17:22,111,63%,15,231
aluno7,ouhzt,6º ano,A1,372,26,0,31057,214,0%,00:20:33,155,87%,45,72
aluno8,ygz43,7º ano,B1,288,0,0,30670,186,0%,00:20:37,102,25%,24,108
aluno9,ouhzt,6º ano,A1,376,26,0,30142,220,0%,00:15:08,153,70%,51,58
aluno10,6ve7m,9º ano,A1,220,24,0,28822,146,0%,00:14:16,73,69%,24,64
aluno11,87ccs,6º ano,A2,141,2,0,24231,99,0%,00:17:39,41,64%,24,7
aluno12,eyk3i,8º ano,A2,295,41,0,24173,171,0%,00:13:40,121,59%,29,65
aluno13,87ccs,6º ano,A1,285,24,0,23282,157,0%,00:20:19,128,59%,38,39
aluno14,fof6t,6º ano,A1,16,2,3,22271,0,0%,00:00:00,16,37%,3,0
aluno15,zocoy,9º ano,A2,266,24,0,22213,168,0%,00:24:26,95,84%,23,113
aluno16,olympicstest1,,A2,261,14,1,20645,137,0%,00:14:44,121,93%,30,67
aluno17,loprm,9º ano,A1,242,22,0,20640,130,0%,00:13:37,109,88%,22,93
aluno18,1ecn2,8º ano,A1,34,2,0,20411,24,0%,00:05:33,10,40%,0,9
aluno19,eyk3i,8º ano,A2,237,30,0,20313,132,0%,00:46:24,102,81%,25,55
aluno20,fsqaw,8º ano,A0,148,13,3,20310,65,0%,00:11:21,80,79%,17,19
aluno21,dg23e,7º ano,A1,260,30,0,19283,140,0%,00:07:40,117,43%,29,103
aluno22,eyk3i,8º ano,A2,240,24,0,18643,137,0%,00:22:54,100,60%,23,40
aluno23,87ccs,6º ano,A1,252,0,0,17886,169,0%,00:20:01,82,30%,30,67
aluno24,oiqy9,9º ano,A1,204,26,0,17790,115,0%,00:10:06,86,84%,23,55
aluno25,fsqaw,8º ano,B1,240,16,0,16772,124,0%,00:08:54,113,58%,13,106
aluno26,zocoy,9º ano,A2,208,7,0,16056,112,0%,00:14:18,93,79%,26,85
aluno27,fof6t,6º ano,#N/D,65,0,5,15814,30,0%,00:04:46,35,55%,99,20
aluno28,icmob,8º ano,A1,229,12,0,15745,121,0%,00:14:59,105,64%,24,54
aluno29,2ziol,8º ano,A1,207,0,0,14627,123,0%,00:10:56,81,62%,30,65
aluno30,icmob,8º ano,A1,177,22,0,14453,91,0%,00:09:36,83,73%,23,47
aluno31,9qp7p,6º ano,A0,103,19,3,14232,59,0%,00:08:14,44,50%,13,44
aluno32,l8dt4,7º ano,A1,186,8,0,14172,103,0%,00:06:35,83,73%,21,41
aluno33,oany5,9º ano,A2,139,2,0,11254,87,0%,00:11:16,52,86%,20,18
aluno34,ouhzt,6º ano,A0,107,34,0,10329,46,0%,00:02:42,58,75%,9,6
aluno35,9qp7p,6º ano,A0,24,4,3,10228,6,0%,00:04:28,17,71%,51,4
aluno36,oany5,9º ano,A2,145,4,0,10164,79,0%,00:07:57,63,71%,15,29
aluno37,2ziol,8º ano,A0,145,17,0,10105,61,0%,00:04:57,81,58%,12,35
aluno38,eyk3i,8º ano,B1,129,4,0,9977,81,0%,00:09:27,45,79%,20,47
aluno39,eyk3i,8º ano,A2,146,0,0,9596,73,0%,00:06:32,70,69%,19,37
aluno40,6ve7m,9º ano,A0,131,11,0,9482,60,0%,00:03:28,68,66%,17,6
aluno41,dzgln,7º ano,A0,116,22,0,8974,50,0%,00:03:38,63,57%,15,23
aluno42,fof6t,6º ano,A1,41,10,4,8655,21,0%,00:04:22,20,63%,19,32
aluno43,eyk3i,8º ano,B1,106,0,0,8187,65,0%,00:12:28,41,93%,10,33
aluno44,eyk3i,8º ano,A1,104,10,0,7828,55,0%,00:02:10,46,68%,11,21
aluno45,fof6t,6º ano,A1,104,5,5,7612,57,0%,00:07:10,44,43%,15,22
aluno46,tj173,7º ano,A1,98,18,0,7523,52,0%,00:08:15,43,36%,2,34
aluno47,dg23e,7º ano,A1,100,0,0,7430,65,0%,00:10:05,35,59%,12,37
aluno48,eyk3i,8º ano,A2,104,1,0,7377,67,0%,00:03:19,34,39%,17,50
aluno49,eyk3i,8º ano,A2,89,12,0,7367,56,0%,00:12:14,30,77%,8,42
aluno50,eyk3i,8º ano,A2,97,6,0,7268,64,0%,00:04:45,33,62%,14,34
aluno51,6ve7m,9º ano,A1,105,1,0,7238,59,0%,00:03:54,43,56%,18,27
aluno52,5u3zk,7º ano,A1,102,1,0,7230,64,0%,00:05:15,37,50%,17,28
aluno53,eyk3i,8º ano,A2,90,10,0,6810,48,0%,00:05:49,39,56%,7,39
aluno54,5aybh,7º ano,A1,50,2,0,6217,29,0%,00:02:54,18,76%,6,16
aluno55,kk7y6,6º ano,A0,82,2,1,6105,45,0%,00:03:44,34,95%,9,21
aluno56,ygz43,7º ano,A1,76,0,0,6092,58,0%,00:06:27,18,34%,11,29
aluno57,oiqy9,9º ano,A1,72,9,0,5850,38,0%,00:04:12,34,71%,4,31
aluno58,9qp7p,6º ano,A1,91,1,4,5770,48,0%,00:04:00,43,35%,12,38
aluno59,si8jo,#N/D,#N/D,64,9,0,5620,37,0%,00:09:47,27,78%,6,0
aluno60,eyk3i,8º ano,A1,84,0,0,5398,43,0%,00:01:38,38,70%,11,26
aluno61,ouhzt,6º ano,A0,95,2,0,5365,40,0%,00:02:59,52,54%,11,17
aluno62,zocoy,9º ano,A2,60,7,0,5268,33,0%,00:06:27,27,88%,7,13
aluno63,87ccs,6º ano,A1,64,3,0,5160,21,0%,00:00:50,43,44%,8,16
aluno64,oany5,9º ano,A1,64,4,0,5101,34,0%,00:02:44,30,77%,9,17
aluno65,eyk3i,8º ano,A1,61,0,0,5004,45,0%,00:04:58,15,62%,9,31
aluno66,ouhzt,6º ano,A0,70,13,0,4907,19,0%,00:00:52,48,65%,5,5
aluno67,icmob,8º ano,A1,65,0,0,4705,11,0%,00:00:45,53,76%,11,3
aluno68,icmob,8º ano,A1,51,12,0,4587,26,0%,00:02:11,25,60%,3,12
aluno69,qdqvo,6º ano,A0,94,1,0,4556,38,0%,00:01:29,53,45%,6,22
aluno70,ouhzt,6º ano,A1,57,8,0,4536,26,0%,00:02:28,28,82%,6,18
aluno71,oiqy9,9º ano,A1,65,3,0,4532,33,0%,00:02:29,29,73%,7,23
aluno72,_ny0606_default,#N/D,#N/D,57,0,0,4401,40,0%,00:07:16,17,57%,12,1
